名次 姓名 语文 数学 英语 物理 化学 生物 政治 历史 地理 总分 平均分
0 平均 66.9 68.4 66.3 67.4 69.7 67.2 不合格 68.7 72.4 605.4 67.3
1 小沈 94 95 72 86 78 78 不合格 95 96 737 81.9
2 小郑 84 93 不合格 94 86 71 69 81 71 708 78.7
3 小朱 97 91 88 86 86 不合格 61 不合格 82 701 77.9
4 小施 88 74 不合格 不合格 78 87 96 88 90 687 76.3
5 小何 86 不合格 86 不合格 76 92 79 95 不合格 663 73.7
6 小张 不合格 87 不合格 88 95 78 91 不合格 94 662 73.6
7 小赵 73 85 80 82 93 不合格 64 87 不合格 660 73.3
8 小金 78 84 77 不合格 79 82 不合格 74 94 660 73.3
9 小华 不合格 85 85 72 62 87 94 73 不合格 645 71.7
10 小陈 98 90 64 71 90 65 不合格 不合格 89 640 71.1
11 小魏 75 不合格 不合格 85 不合格 60 97 99 69 638 70.9
12 小卫 70 67 不合格 96 94 69 62 72 72 635 70.6
13 小孙 95 64 87 79 不合格 70 不合格 72 87 633 70.3
14 小吴 不合格 83 80 94 90 86 不合格 不合格 64 629 69.9
15 小吕 不合格 不合格 81 不合格 95 80 不合格 81 99 619 68.8
16 小钱 不合格 91 81 92 72 不合格 不合格 65 83 617 68.6
17 小杨 86 93 87 不合格 75 不合格 不合格 60 81 617 68.6
18 小秦 不合格 不合格 64 78 89 91 不合格 94 61 612 68.0
19 小孔 不合格 86 88 83 80 90 不合格 78 不合格 610 67.8
20 小曹 63 不合格 不合格 94 不合格 不合格 73 91 78 607 67.4
21 小楮 90 不合格 70 不合格 88 73 69 74 60 605 67.2
22 小严 不合格 71 77 60 91 79 90 不合格 61 602 66.9
23 小许 不合格 72 99 不合格 不合格 92 62 92 65 601 66.8
24 小蒋 82 不合格 63 70 60 67 不合格 69 92 600 66.7
25 小李 87 不合格 81 不合格 73 不合格 不合格 74 97 591 65.7
26 小冯 不合格 74 83 69 不合格 78 73 不合格 不合格 587 65.2
27 小韩 83 70 不合格 74 不合格 不合格 不合格 93 78 578 64.2
28 小尤 74 67 63 不合格 不合格 89 不合格 66 76 578 64.2
29 小王 75 83 不合格 不合格 72 不合格 不合格 64 80 525 不合格
30 小周 不合格 不合格 66 65 不合格 不合格 70 不合格 89 520 不合格
